files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/slide2/short2/Expert102_11A_sl2_sit.set,-10.610689758468107,-11.8901810868238,-11.01318241797656,-10.985954868277066,-10.527419084022965,-11.79043241641799,-10.636489143453055,-10.920361596284822,-11.103217490339308,-5.535872292594596,-5.748952719544217,-6.2152582774460745,-6.3158495480300125,-5.48874086474552,-5.646417795708141,-6.392243576535173,-6.227993528586011,-6.380296959974217,Expert,S102,algebra,sit
data/slide2/short2/Expert102_1A_sl2_stand.set,-10.813720015608396,-13.012147510224864,-10.213378239730753,-10.141275763956063,-11.019012962365895,-12.60197846938538,-11.428638806932854,-10.269088538874822,-11.020459262847606,-6.025139275489042,-5.940577574937541,-5.765963035962569,-5.746824377510395,-6.078873108221009,-5.9824062287026045,-6.745112000938038,-5.726642492047659,-5.2654718973078625,Expert,S102,algebra,stand
data/slide2/short2/Expert102_2A_sl2_stand.set,-12.818793160937322,-13.481490976979293,-11.581888010949553,-11.842034953438077,-13.305042925274355,-14.040198309870757,-12.161892260869427,-11.632828170782432,-11.626253811102924,-6.61095357080354,-6.352201997735777,-6.951268332434981,-6.785586867409715,-6.518082569639482,-6.15093082221152,-7.249620749204705,-6.679140766004677,-6.026932069196766,Expert,S102,algebra,stand
data/slide2/short2/Expert102_3A_sl2_sit.set,-10.691892396677343,-11.821162102356023,-10.555524548131617,-10.734667960159232,-9.521243883843017,-11.401910690077626,-13.119835055045803,-10.522379644454945,-10.450772344298134,-6.984018285340966,-6.156409915914834,-7.458030225226101,-7.098780940156276,-6.348568164885284,-6.395760531799533,-6.878989723971181,-7.238631124577813,-6.442137193376242,Expert,S102,algebra,sit
data/slide2/short2/Expert102_4A_sl2_sit.set,-12.334869326647151,-14.366681738729872,-11.803767663272989,-11.48167427422657,-13.5927341013817,-13.916310229343424,-11.531660171097588,-11.814465449899377,-11.453612130848793,-5.721978625188706,-5.7026782046493505,-6.736155331748752,-6.619525936655798,-6.298629926131449,-5.705374645904073,-5.805523050989853,-6.387009969245207,-7.140201211143536,Expert,S102,algebra,sit
data/slide2/short2/Expert102_5A_sl2_stand.set,-11.16744211563077,-11.352916624391575,-12.104062668365987,-11.393623585198732,-11.363188631894866,-11.198034353558059,-11.877130381676961,-11.61371461155602,-13.05391116724304,-5.704086809027574,-6.890695910893664,-6.06716516939667,-6.051272756186803,-5.899451025452402,-6.871542412712692,-6.000570657531342,-6.175998759120197,-6.1429134981761075,Expert,S102,algebra,stand
data/slide2/short2/Expert102_7A_sl2_stand.set,-10.79824002710803,-12.593935868407602,-11.488966871117878,-11.206603074007734,-10.683247884014232,-12.560981033614386,-12.263103157466634,-11.2380717424583,-10.85636645669977,-6.079557763249596,-7.146670392401331,-6.012087175767819,-5.915747629440788,-7.001448070430858,-7.027319992595754,-5.733492729287099,-5.974183061906439,-6.058607321971186,Expert,S102,algebra,stand
data/slide2/short2/Expert102_9A_sl2_sit.set,-11.555509408827763,-13.004741771836084,-12.099289911516504,-12.461165646843119,-10.64767695730117,-13.006570228385053,-13.433643346670658,-12.69411240448718,-11.789263849643875,-6.255463805145647,-6.0682904516186245,-6.8186108272103185,-7.203576710938869,-6.393039442755727,-5.954412415501514,-6.07290649372568,-7.3599719888289155,-6.032460419456927,Expert,S102,algebra,sit
data/slide2/short2/Expert11_11A_sl2_sit.set,-11.312051830816085,-11.424643443876466,-11.983998439786019,-10.387216356423307,-11.799649014338687,-11.97558396719384,-12.408603232217791,-12.373681222285734,-10.163911413511936,-6.423431936158569,-7.461497299676791,-6.835767743760469,-6.766679219382233,-7.719245197736596,-6.76762855402618,-6.404041605255253,-6.627888252971641,-6.214825549852346,Expert,S11,algebra,sit
data/slide2/short2/Expert11_1A_sl2_stand.set,-9.925713424199895,-11.649851884931781,-12.552527601072757,-12.431649462221769,-10.734891972867484,-11.72629575936212,-11.03012579001679,-12.631915463551255,-11.23784080797614,-6.127174485293778,-6.391691623637098,-6.980100008096417,-6.354462490502896,-6.14429968095794,-6.593372716682451,-6.183137839095702,-6.442483829667704,-6.096554891728263,Expert,S11,algebra,stand
data/slide2/short2/Novice8_1A_sl2_sit.set,-11.134978053396742,-10.955281405478065,-9.604810686382807,-9.35437295668728,-11.06980246064848,-11.073344599527973,-8.734360485887953,-10.613258825699855,-10.080344958396502,-6.624010117218428,-6.077252084590734,-6.744075768304863,-6.220819917105374,-6.94588729325176,-6.197348282535058,-6.233754261144482,-5.943636310232462,-6.4827688513713735,Novice,S8,algebra,sit
data/slide2/short2/Novice8_2A_sl2_sit.set,-13.789795707521412,-11.896938384490682,-11.370822713280415,-11.91401955821457,-12.29306635809083,-11.515928203290397,-12.141042265779896,-10.916317699694519,-11.39766617869479,-6.271527270266919,-6.475923602384957,-6.203416908122952,-6.112586456405466,-6.465861803176426,-6.221957697188808,-6.693316084112415,-6.450020671348558,-6.258110344737721,Novice,S8,algebra,sit
