files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert102_SYMGEO_11G_sl1_Sit_05-40Hz.set,-10.5881989684911,-10.3159149884334,-11.653761496363,-11.4486472039745,-10.0599407175148,-10.328915158736,-11.1761052063852,-11.698646645043,-11.1480612342792,-5.63159266050879,-6.43276501041453,-5.76547270030525,-5.73068773905701,-5.86769197761044,-6.49270924771211,-5.58510009493062,-5.76765489695139,-5.53398367481725,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_1G_sl1_Stand_05-40Hz.set,-10.7110985022441,-11.2658095605431,-10.6124568537543,-10.7269629111485,-12.8560869783079,-11.039756780351,-12.4586649807929,-10.5279329401812,-9.99145106149939,-6.47696386367687,-6.88875629128619,-6.45490093226647,-6.19305844137506,-6.72618606585671,-6.3624632141165,-5.68832198434852,-6.38065791982986,-6.24084382728772,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_2G_sl1_Stand_05-40Hz.set,-11.0376223349246,-11.3519598779849,-12.7503837755433,-13.2562095807109,-11.1718507934581,-11.4933271294457,-11.7070818218473,-12.6189306035102,-10.8662038650688,-6.03511785862369,-6.93781912030358,-5.62546093260664,-5.74352179209148,-6.3118417418939,-6.74563200935352,-5.93215869884206,-5.75809919130988,-5.7856093281381,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_3G_sl1_Sit_05-40Hz.set,-11.4577013620434,-12.2263303776775,-11.0178201289329,-11.1617461507347,-12.7409611917864,-12.5434349785474,-11.1557748379797,-11.1548287068126,-10.4781518821534,-5.93890917682532,-6.38050281363896,-6.83896968566201,-6.91023780970996,-6.10421225153372,-6.64395025290642,-5.90247497348122,-7.01352643284856,-6.26742150988857,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_4G_sl1_Sit_05-40Hz.set,-14.0378992956807,-12.6459716855366,-12.3341980170775,-12.7235893348254,-13.1439578895943,-12.5314598225113,-11.1092300884962,-12.2130735595037,-12.6087581035213,-6.20989000219202,-6.37514360431261,-6.63100346574958,-6.66818366326014,-5.95629423916125,-6.33266434317834,-5.87785090456386,-6.83584515185095,-6.30804385853921,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_5G_sl1_Stand_05-40Hz.set,-11.9001838972445,-11.2645429997809,-12.0260678504301,-12.3502142116029,-11.1392709555454,-10.9763194875569,-10.7709766284074,-12.0994004468541,-10.5615592757271,-6.65997323250043,-6.3631349499942,-7.01973562893938,-7.29742897305114,-6.87952609168265,-6.39316809368713,-6.24177931030958,-6.77194901782603,-6.73503571959457,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_7G_sl1_Stand_05-40Hz.set,-11.1406683815138,-12.0677775726173,-11.2443559049761,-11.2707825214372,-11.13688025041,-12.5692864676362,-9.66713124782448,-11.0233874507861,-11.0661253018259,-6.0372410688234,-6.26346562677318,-6.52385630243491,-6.51850672548418,-5.80172604910385,-6.16345509148682,-5.90106143752068,-6.42847188313664,-6.0920624521541,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_9G_sl1_Sit_05-40Hz.set,-10.5837267756621,-11.7646065645193,-11.7111509897427,-11.8314846057448,-10.543904160329,-11.7925588568032,-10.6944289559541,-11.9919714479201,-10.5188221468943,-5.46202467510022,-6.66031653697182,-5.72769278642677,-5.6476959814882,-5.59608570934256,-6.95029254849441,-6.18331929187847,-5.63399126161555,-5.35681982532642,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_11G_sl1_Sit_05-40Hz.set,-11.1179694366887,-11.2605914414421,-10.5207669913521,-11.314331283794,-13.1894325365155,-10.1535483610672,-9.35768961821197,-12.3965697994879,-11.8432907440409,-5.87732671481865,-5.98788157821822,-7.2759338622636,-7.12661643059836,-5.89704016652194,-6.587524933611,-6.45348602362171,-7.17013261394781,-5.99458528834296,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_1G_sl1_Stand_05-40Hz.set,-12.6286670709725,-11.342318162173,-10.858804053625,-10.3219764748164,-12.1925795098237,-10.3548693585259,-11.8020136243496,-10.3330622738351,-11.0696647824396,-6.34599799935434,-5.98067290282569,-6.67747991393781,-6.2604385282344,-6.10147177268113,-6.03810423976912,-6.67390824853898,-6.22926427960151,-6.10465378571999,Expert,S11,geometry,Stand
