filename,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert102_SYMGEO_11G_sl1_Sit_05-40Hz.set,-11.5898532768314,-11.9813089554678,-11.8016683336915,-11.7632791129819,-11.461102654181,-12.0168386998755,-11.3825441879961,-11.7744112411586,-11.5294022480587,-5.95872358054773,-6.28120508338684,-6.13418421436636,-6.14792432837978,-6.11006554503124,-6.27975555390984,-5.82411109120009,-6.13172858887258,-6.07932816941405,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_1G_sl1_Stand_05-40Hz.set,-12.2353599243406,-12.5801914251129,-12.1877911549119,-12.2025458627092,-12.0618504738127,-12.5523012557188,-11.9522604372099,-12.2219613341336,-11.9162182326313,-6.31223026643381,-6.31801692197782,-6.22553569823057,-6.22060512561391,-6.37871690971862,-6.29964652280325,-6.01636359192503,-6.24842361285379,-6.11641116768622,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_2G_sl1_Stand_05-40Hz.set,-11.9883320232073,-12.3443137637814,-11.9248119361663,-11.9073830711755,-11.8847945852323,-12.3232604978824,-11.8438619824074,-11.9130163634274,-11.4495946365997,-6.12475492231533,-6.16687057534435,-6.01148058792476,-6.00230390102986,-6.20640813461599,-6.14281722378621,-5.7269584541863,-6.02410891733753,-5.75081321673891,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_3G_sl1_Sit_05-40Hz.set,-11.2847778109401,-11.8618253851793,-11.6511693058548,-11.6452901066891,-11.3345197769634,-11.857320010353,-11.3935796463005,-11.6922517052155,-11.4939314076718,-5.920094959247,-6.23840297617609,-6.10577166406747,-6.10640668123789,-6.09528569094886,-6.21678146955172,-5.74546044090264,-6.11453166625652,-5.85934168783529,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_4G_sl1_Sit_05-40Hz.set,-11.9542233502498,-12.0908552225939,-12.3927138890038,-12.3955495281702,-11.8394884795917,-12.0684080018976,-11.9544455077233,-12.407147263948,-12.2643271311916,-6.23032463874034,-6.2936305031195,-6.37552317381602,-6.36737528915793,-6.13897932052296,-6.27829866808363,-6.09603876020081,-6.38747510061255,-6.28946374749265,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert102_SYMGEO_5G_sl1_Stand_05-40Hz.set,-11.7930377224284,-12.3905074270565,-12.0120142797178,-11.9868139699848,-11.7085066684437,-12.324058247325,-11.9965800494527,-12.0101678925572,-11.5852031508494,-6.21276423683367,-6.35524284528169,-6.10770773244527,-6.1003273025029,-6.29014263902421,-6.33621004404396,-6.3944668778695,-6.10810859276242,-5.88271487129755,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_7G_sl1_Stand_05-40Hz.set,-11.3510319774389,-11.8420323752558,-11.7888081831655,-11.7611937305531,-11.3122194566265,-11.8250987349782,-11.429546802741,-11.781896396999,-11.6182031847861,-6.08082468105507,-6.34649530067319,-6.28758214557998,-6.29210879946844,-6.25629574405695,-6.32954567993787,-5.8396271968507,-6.2848778176166,-6.16062061137559,Expert,S102,geometry,Stand
data/Epoched_Geometric/Expert102_SYMGEO_9G_sl1_Sit_05-40Hz.set,-11.8596015583373,-12.3114795619774,-11.7958163381029,-11.8063420779667,-11.7501945569345,-12.2563682348042,-11.8629898812495,-11.8354846097803,-11.4989616756076,-6.14955151809387,-6.1958734195587,-6.00683356614234,-6.01466706342582,-6.26026099397345,-6.19023961211604,-6.06599070275669,-6.02252110541011,-5.82935318446509,Expert,S102,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_11G_sl1_Sit_05-40Hz.set,-10.8857753183562,-11.0607517506117,-10.7644646692876,-10.592826460169,-10.8517578088815,-10.9505991235134,-11.1347049191946,-10.7176090743041,-10.4540919848011,-6.50798444492294,-6.459980672587,-6.52274005200553,-6.39698195605788,-6.38493282601218,-6.26046560138207,-6.61137931565151,-6.56213986372177,-6.25650599731506,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_1G_sl1_Stand_05-40Hz.set,-10.986915109256,-10.7335698814267,-10.3998844192372,-10.340791816284,-10.7407781868554,-10.7343182319288,-10.9495151404606,-10.4745988737939,-10.2806208572467,-6.52328796587181,-6.56595435674417,-6.58789715656453,-6.37645356217128,-6.42625686538395,-6.49422202338127,-6.42346626800801,-6.56969485150829,-5.9481490821392,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_2G_sl1_Stand_05-40Hz.set,-10.9720027981322,-10.9804140671877,-10.4417737236059,-10.2718703284324,-10.8293939091454,-11.0849586363567,-11.0401355831554,-10.5963798417493,-10.4179671490315,-6.48837913389801,-6.53803968508674,-6.62374776839318,-6.37458575693263,-6.37555776889952,-6.54325149397978,-6.53700849594809,-6.58977089172554,-5.92287266100668,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_3G_sl1_Sit_05-40Hz.set,-11.1999404189575,-11.0517270655568,-10.6192758874598,-10.5163591052693,-10.9424762587157,-11.0612222614115,-11.2893496047774,-10.541112187444,-10.4279733280365,-6.61173120093777,-6.61472418760846,-6.56345853791793,-6.43681240650623,-6.50309273323034,-6.46362615756904,-6.5932241926012,-6.59814970556428,-6.05418304067817,Expert,S11,geometry,Sit
